"0","# experimental protein names"
"0","protein.exp = read.table(protein_list.fname, header = F, stringsAsFactors = F)[, 1]"
"0","protein.exp = protein.exp[protein.exp != reference]"
"0","print(protein.exp)"
"1"," [1]"
"1"," ""1nu4a"" "
"1"," ""1a9nb"" "
"1"," ""1fjeb2"""
"1"," ""1h6kx"" "
"1"," ""1oo0b"" "
"1"," ""1fxla1"""
"1"," ""1l3ka1"""
"1"," ""2msta"" "
"1"," ""1hd1a"" "
"1"," ""1fjeb1"""
"1","
"
"1","[11]"
"1"," ""1iqta"" "
"1"," ""1cvja1"""
"1"," ""1cvja2"""
"1"," ""2u1a""  "
"1"," ""1qm9a2"""
"1"," ""1qm9a1"""
"1"," ""1u2fa"" "
"1"," ""1jmta"" "
"1"," ""2u2f""  "
"1","
"
