"0","# experimental protein names"
"0","protein.exp = read.table(protein_list.fname, header = F, stringsAsFactors = F)[, 1]"
"0","protein.exp = protein.exp[protein.exp != reference]"
"0","print(protein.exp)"
"1"," [1]"
"1"," ""1bbr"" "
"1"," ""1ppb"" "
"1"," ""1hcga"""
"1"," ""1kigh"""
"1"," ""1fxya"""
"1"," ""2ptn"" "
"1"," ""1trma"""
"1"," ""1a0ja"""
"1"," ""2tbs"" "
"1"," ""1ab9"" "
"1"," ""1ton"" "
"1","
"
"1","[12]"
"1"," ""2pka"" "
"1"," ""1npma"""
"1"," ""1azza"""
"1"," ""3est"" "
"1"," ""1a0la"""
"1"," ""1lmwb"""
"1"," ""1a5ia"""
"1"," ""1a5ha"""
"1"," ""1fuja"""
"1"," ""1hnee"""
"1"," ""1a7s"" "
"1","
"
"1","[23]"
"1"," ""3rp2a"""
"1"," ""1klt"" "
"1"," ""1dfpa"""
"1"," ""1sgt"" "
"1","
"
