"","CA.pearson","CA.pearson.sqrt","CM.pearson","CM.pearson.sqrt","CA.spearman","CM.spearman"
"CN R0 = -0.1",NA,NA,NA,NA,NA,NA
"CN R0 = 2.5",NA,NA,NA,NA,NA,NA
"CN R0 = 7.5",0.689311916372644,0.706527928167132,0.623887989939565,0.616687551721614,0.698119486177769,0.539733066707432
"CN R0 = 12.5",0.745437752870839,0.759424609446541,0.68912623896713,0.690384878441959,0.673398868294982,0.62055497535649
"CN R0 = 17.5",0.797594653714039,0.819072372721024,0.690512828133549,0.707184691326494,0.72327985271166,0.610475558208016
"CN R0 = 22.5",0.696839487728378,0.714355244435779,0.696978203823526,0.714364039316461,0.557917683656789,0.557917683656789
"CN R0 = 27.5",0.426368559001632,0.397045101209168,0.426368559001632,0.397045101209169,0.27053479457524,0.27053479457524
"CN R0 = 32.5",NA,NA,NA,NA,NA,NA
"CN R0 = 37.5",NA,NA,NA,NA,NA,NA
"CN R0 = 42.5",NA,NA,NA,NA,NA,NA
"CN R0 = 47.5",NA,NA,NA,NA,NA,NA
"CN R0 = 52.5",NA,NA,NA,NA,NA,NA
"WCN",0.740692019569818,0.782662240814755,0.607667267709812,0.637462869494868,0.754602630074328,0.621726700971984
