"","CA.pearson","CA.pearson.sqrt","CM.pearson","CM.pearson.sqrt","CA.spearman","CM.spearman"
"CN R0 = -0.1",NA,NA,NA,NA,NA,NA
"CN R0 = 2.5",NA,NA,NA,NA,NA,NA
"CN R0 = 7.5",0.764991875089109,0.773932213813983,0.615171296295909,0.646334444758682,0.684323098100135,0.577065481883978
"CN R0 = 12.5",0.770549444705971,0.754898132837737,0.690322013151835,0.671197621199751,0.659706770326365,0.541484339341068
"CN R0 = 17.5",0.67382086886974,0.647805922675273,0.620914757984417,0.594035401677442,0.529417147481497,0.480284130533782
"CN R0 = 22.5",0.678082526308527,0.647582347575571,0.679208984591109,0.648297911037795,0.513189511731116,0.513189511731116
"CN R0 = 27.5",0.7054475549014,0.680106697836477,0.70580232700635,0.680301481823907,0.500864715424062,0.500864715424062
"CN R0 = 32.5",0.712753181692235,0.66972044374575,0.650507443219137,0.626607757561537,0.493387186562801,0.435638098424882
"CN R0 = 37.5",0.498171993340663,0.44501523587665,0.447536259268627,0.417193671436389,0.341810177633832,0.349479295294041
"CN R0 = 42.5",NA,NA,NA,NA,NA,NA
"CN R0 = 47.5",NA,NA,NA,NA,NA,NA
"CN R0 = 52.5",NA,NA,NA,NA,NA,NA
"WCN",0.788627727736541,0.782949294508296,0.625598352376651,0.616371688184119,0.684423210377409,0.527731810174558
